line_index, start_sec
0	10.4
1	12.6
2	14.8
3	18.7
4	20.7
5	23.1
6	26.2
7	28.8
8	30.9
9	34.8
10	38.4
11	43.2
12	46.6
13	51.9
14	54
15	60.3
16	62.3
17	68.5
18	70.6
19	72.7
20	76
21	78.3
22	80.7
23	84.5
24	89.7
25	94.8
26	98.1
