line_index,	start_sec
0	18.2
1	23
2	27.9
3	31.3
4	38.1
5	41.3
6	44.2
7	46.4
8	49.3
9	52
10	54.9
11	59.8
12	62.7
13	65.2
14	70.3
15	73.7
16	79.3
17	100.6
18	105.4
19	111
20	118.6
21	120.6
22	121.4
23	124.15
24	124.3
25	126.7
26	128.3
27	132.3
28	133.8
29	138.9
30	142.4
31	157.9
32	167.7
