line_index,	start_sec
0	2.6
1	5
2	14.8
3	18.6
4	21.4
5	25
6	28.9
7	31.9
8	35.3
9	39
10	42.3
11	46.3
12	49.2
13	52.8
14	55.4
15	58.9
16	60.2
17	66
18	69.4
19	71.4
20	73.5
21	75.4
22	77
23	78.9
24	81.3
25	83.9
26	87.1
27	90.2
28	96.3
29	100.5
30	103
31	106.9
32	109.7
33	113.1
34	116.2
35	120
36	123.4
37	125
38	127.3
39	128.8
40	132.9
41	150.3
42	154.6
43	157.3
44	161.1
45	163.7
46	167.1
47	170.4
48	174
