line_index,	start_sec
0	7.3
1	9
2	10.9
3	14.3
4	16.6
5	19.7
6	22
7	24
8	26.5
9	28.8
10	33.2
11	36.2
12	38.7
13	41.1
14	44.1
15	47.6
16	51.6
17	53.3
18	57.9
19	61.8
20	62.8
21	65.2
22	72.1
23	74
24	74.3
25	76.2
26	78.7
27	82.8
28	85.4
29	88.9
30	92.9
31	94.7
32	98.5
33	103
