line_index,	start_sec
0	16.6
1	23
2	29.9
3	31.5
4	33.9
5	34.6
6	36.3
7	40.6
8	42.9
9	45
10	48.8
11	52
12	53.6
13	56.9
14	58.7
15	59.8
16	62.2
17	65.9
18	71.5
19	86.6
20	90
21	93.1
22	94.7
23	100.5
24	102.3
25	107.2
26	110
27	113.8
28	117.2
29	120.6
30	122.2
