start_sec,end_sec,is_vocal
0.000000,21.000000,1
21.000000,31.600000,0
31.600000,42.000000,1
42.000000,46.400000,0
46.400000,55.600000,1
55.600000,58.300000,0
58.300000,122.700000,1
122.700000,125.000000,0
125.000000,133.150000,1
133.150000,135.400000,0
135.400000,147.500000,1
