start_sec,end_sec,singer,text
0.000,5.000,P,거울 속에 비친 나를 바라봐
5.000,9.400,P,땀방울이 맺힌 이마 위로
9.400,14.700,P,오늘 하루도 져물어 가네
14.700,19.600,P,이 좁은 연습실이 내 무대야
19.600,25.600,P,서툴지만 조금씩 빛나고 있어
25.600,30.100,P,언젠가 닿을 수 있을까
30.100,35.000,P,내 목소리가 세상에 울리는 그날
35.000,38.000,P,"Singing for my dream, Singing for me."
