start_sec,end_sec,is_vocal
0.00,37.75,1
37.75,47.10,0
47.10,64.15,1
64.15,67.10,0
67.10,87.67,1
87.67,93.32,0
93.32,97.63,1
97.63,104.18,0
104.18,109.68,1
