start_sec,end_sec,is_vocal
0.00,21.00,1
21.00,31.60,0
31.60,42.00,1
42.00,46.40,0
46.40,55.60,1
55.60,58.30,0
58.30,122.7,1
122.7,125.0,0
125.0,133.15,1
133.15,135.40,0
135.40,147.50,1
