start_sec,end_sec,is_vocal
0.00,6.30,0
6.30,15.50,1
15.50,24.40,0
24.40,32.20,1
32.20,34.40,0
34.40,44.35,1
44.35,45.70,0
45.70,54.00,1
54.00,59.58,0
59.58,61.78,1
61.78,63.85,0
63.85,71.30,1
71.30,75.58,0
75.58,85.20,1
85.20,86.55,0
86.55,105.00,1
105.00,119.50,0
