start_sec,end_sec,is_vocal
00.00,11.00,0
11.00,34.60,1
34.60,42.20,0
42.20,61.40,1
61.40,72.70,0
72.70,77.00,1
77.00,84.60,0
84.60,115.10,1
115.10,122.60,0
122.60,134.80,1
134.80,154.90,0
