start_sec,end_sec,is_vocal
0.00,8.10,0
8.10,21.00,1
21.00,28.30,0
28.30,34.00,1
34.00,35.60,0
35.60,39.40,1
39.40,41.30,0
41.30,56.00,1
56.00,60.10,0
60.10,62.90,1
62.90,70.40,0
70.40,78.01,1
78.01,91.20,0
91.20,115.90,1
115.90,120.10,0
120.10,135.00,1
135.00,136.70,0
