start_sec,end_sec,is_vocal
0.00,9.20,0
9.20,32.40,1
32.40,44.40,0
44.40,62.20,1
62.20,72.40,0
72.40,78.70,1
78.70,85.70,0
85.70,106.50,1
106.50,118.10,0
